region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;accuracy. mean;recall. std;precision. std;fscore. std;accuracy. std
RightSTS;None;6;{'C': 1, 'kernel': 'rbf'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.7194092827004219;0.7407826218008993;0.7251735450972239;0.7194092827004219;0.0;0.0;0.0;0.0
LeftSTS;None;6;{'C': 1, 'kernel': 'rbf'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.72044140830268;0.7234581092868504;0.7218142052963304;0.72044140830268;0.0;0.0;0.0;0.0
LeftMotor;None;6;{'C': 1, 'kernel': 'rbf'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6926338102808691;0.648338302237071;0.6507175853581082;0.6926338102808691;0.0;0.0;0.0;0.0
RightMotor;None;6;{'C': 1, 'kernel': 'rbf'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6783253842077371;0.6381942706088835;0.6432902583406408;0.6783253842077371;0.0;0.0;0.0;0.0
LeftMotor;None;6;{'C': 1, 'kernel': 'linear'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.6929175475687104;0.6446699492348529;0.6408935436321149;0.6929175475687104;0.0;0.0;0.0;0.0
RightMotor;None;6;{'C': 1, 'kernel': 'rbf'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.7073684210526315;0.5003700831024931;0.5861301836589006;0.7073684210526315;0.0;0.0;0.0;0.0
LeftSTS;None;6;{'C': 0.8, 'kernel': 'rbf'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];0.6989931107578167;0.6870817712950016;0.689541415981473;0.6989931107578167;0.0;0.0;0.0;0.0
RightSTS;None;6;{'C': 0.8, 'kernel': 'rbf'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];0.7138314785373608;0.7112785295447835;0.7124167357779497;0.7138314785373608;0.0;0.0;0.0;0.0
LeftMotor;None;6;{'C': 1, 'kernel': 'rbf'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.7014767932489452;0.6683868000844727;0.6776667971711094;0.7014767932489452;0.0;0.0;0.0;0.0
RightMotor;None;6;{'C': 1, 'kernel': 'rbf'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.6924697209057399;0.6575073993735508;0.6664459827298308;0.6924697209057399;0.0;0.0;0.0;0.0
LeftMotor;None;6;{'C': 1, 'kernel': 'rbf'};{'speech_left_ts': ['disc_IPU_left', 'Overlap_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3', 'Overlap_left_t6', 'Overlap_left_t5', 'Overlap_left_t4', 'Overlap_left_t3'];['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3', 'Overlap_left_t6', 'Overlap_left_t5', 'Overlap_left_t4', 'Overlap_left_t3'];0.6703762586115527;0.6239860690690342;0.6314642068732903;0.6703762586115527;0.0;0.0;0.0;0.0
RightMotor;None;6;{'C': 0.9, 'kernel': 'rbf'};{'speech_left_ts': ['disc_IPU_left', 'Overlap_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3', 'Overlap_left_t6', 'Overlap_left_t5', 'Overlap_left_t4', 'Overlap_left_t3'];['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3', 'Overlap_left_t6', 'Overlap_left_t5', 'Overlap_left_t4', 'Overlap_left_t3'];0.652888182299947;0.609901697113314;0.6175459276408442;0.652888182299947;0.0;0.0;0.0;0.0
LeftMotor;None;6;{'C': 1, 'kernel': 'rbf'};{'speech_left_ts': ['IPU_left', 'Overlap_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'Overlap_left_t6', 'Overlap_left_t5', 'Overlap_left_t4', 'Overlap_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'Overlap_left_t6', 'Overlap_left_t5', 'Overlap_left_t4', 'Overlap_left_t3'];0.6756756756756757;0.6212431975181663;0.626070685931129;0.6756756756756757;0.0;0.0;0.0;0.0
