index	region	dm_method	lag	models_params	predictors_dict	selected_predictors	accuracy. mean	precision. mean	fscore. mean	accuracy. std	precision. std	fscore. std	K-Fscores	nb_predictors
1	LeftSTS	None_4	6	{'C': 1, 'solver': 'lbfgs'}	['disc_IPU']	['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3']	0.6410190760860385	0.6553588295194749	0.65	0.038880002363080465	0.03916122754326976	0.039191469245991616	0.6781035471937009,0.6739680538041194,0.5558497892077624,0.660458751626126,0.6114334749918273,0.6544299260575177,0.6020114942528736,0.6459197417807601,0.6378718356899835,0.6901441462557132	4
6	RightTemporoParietalJunction	None_256	6	{'C': 0.7, 'solver': 'liblinear'}	['ReactionTime', 'UnionSocioItems_left', 'angry', 'eyes_AU', 'Overlap', 'AU26_r', 'head_rotation_energy', 'pose_Ty', 'disc_IPU', 'saccades', 'IPU', 'FilledBreaks_left', 'Laughters', 'FilledBreaks', 'LexicalRichness2_left', 'gaze_angle_x', 'Vx', 'SpeechActivity_left', 'Polarity_left', 'dlib_smiles', 'pose_Rz', 'ReactionTime_left', 'sad', 'Discourses', 'AU02_r', 'LexicalRichness1', 'disc_SpeechActivity', 'AU6_r', 'Feedbacks_left', 'Face', 'IPU_left', 'disc_SpeechActivity_left', 'LexicalRichness2', 'Discourses_left', 'UnionSocioItems', 'surprise', 'Overlap_left', 'Particles', 'AU01_r', 'Mouth', 'Feedbacks', 'pose_Tx', 'Laughters_left', 'total_AU', 'pose_Rx', 'LexicalRichness1_left', 'pose_Ry', 'fear', 'happy', 'gaze_angle_y', 'disc_IPU_left', 'neutral', 'Smile', 'disgust', 'Vy', 'Polarity', 'Particles_left', 'head_translation_energy', 'pose_Tz', 'Subjectivity', 'mouth_AU', 'Eyes', 'SpeechActivity', 'Subjectivity_left']	['SpeechActivity_left_t6', 'SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3', 'disc_SpeechActivity_left_t6', 'disc_SpeechActivity_left_t5', 'disc_SpeechActivity_left_t4', 'disc_SpeechActivity_left_t3', 'IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3', 'Polarity_left_t6', 'Polarity_left_t5', 'Polarity_left_t4', 'Polarity_left_t3', 'Subjectivity_left_t6', 'Subjectivity_left_t5', 'Subjectivity_left_t4', 'Subjectivity_left_t3', 'Overlap_left_t6', 'Overlap_left_t5', 'Overlap_left_t4', 'Overlap_left_t3', 'ReactionTime_left_t6', 'ReactionTime_left_t5', 'ReactionTime_left_t4', 'ReactionTime_left_t3', 'FilledBreaks_left_t6', 'FilledBreaks_left_t5', 'FilledBreaks_left_t4', 'FilledBreaks_left_t3', 'Feedbacks_left_t6', 'Feedbacks_left_t5', 'Feedbacks_left_t4', 'Feedbacks_left_t3', 'Discourses_left_t6', 'Discourses_left_t5', 'Discourses_left_t4', 'Discourses_left_t3', 'Particles_left_t6', 'Particles_left_t5', 'Particles_left_t4', 'Particles_left_t3', 'Laughters_left_t6', 'Laughters_left_t5', 'Laughters_left_t4', 'Laughters_left_t3', 'LexicalRichness1_left_t6', 'LexicalRichness1_left_t5', 'LexicalRichness1_left_t4', 'LexicalRichness1_left_t3', 'LexicalRichness2_left_t6', 'LexicalRichness2_left_t5', 'LexicalRichness2_left_t4', 'LexicalRichness2_left_t3', 'UnionSocioItems_left_t6', 'UnionSocioItems_left_t5', 'UnionSocioItems_left_t4', 'UnionSocioItems_left_t3', 'SpeechActivity_t6', 'SpeechActivity_t5', 'SpeechActivity_t4', 'SpeechActivity_t3', 'disc_SpeechActivity_t6', 'disc_SpeechActivity_t5', 'disc_SpeechActivity_t4', 'disc_SpeechActivity_t3', 'IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3', 'Overlap_t6', 'Overlap_t5', 'Overlap_t4', 'Overlap_t3', 'ReactionTime_t6', 'ReactionTime_t5', 'ReactionTime_t4', 'ReactionTime_t3', 'FilledBreaks_t6', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t6', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t6', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t6', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t6', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3', 'LexicalRichness1_t6', 'LexicalRichness1_t5', 'LexicalRichness1_t4', 'LexicalRichness1_t3', 'LexicalRichness2_t6', 'LexicalRichness2_t5', 'LexicalRichness2_t4', 'LexicalRichness2_t3', 'UnionSocioItems_t6', 'UnionSocioItems_t5', 'UnionSocioItems_t4', 'UnionSocioItems_t3', 'Polarity_t6', 'Polarity_t5', 'Polarity_t4', 'Polarity_t3', 'Subjectivity_t6', 'Subjectivity_t5', 'Subjectivity_t4', 'Subjectivity_t3', 'dlib_smiles_t6', 'dlib_smiles_t5', 'dlib_smiles_t4', 'dlib_smiles_t3', 'Smile_t6', 'Smile_t5', 'Smile_t4', 'Smile_t3', 'mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'AU01_r_t6', 'AU01_r_t5', 'AU01_r_t4', 'AU01_r_t3', 'AU02_r_t6', 'AU02_r_t5', 'AU02_r_t4', 'AU02_r_t3', 'AU6_r_t6', 'AU6_r_t5', 'AU6_r_t4', 'AU6_r_t3', 'AU26_r_t6', 'AU26_r_t5', 'AU26_r_t4', 'AU26_r_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'gaze_angle_x_t6', 'gaze_angle_x_t5', 'gaze_angle_x_t4', 'gaze_angle_x_t3', 'gaze_angle_y_t6', 'gaze_angle_y_t5', 'gaze_angle_y_t4', 'gaze_angle_y_t3', 'pose_Tx_t6', 'pose_Tx_t5', 'pose_Tx_t4', 'pose_Tx_t3', 'pose_Ty_t6', 'pose_Ty_t5', 'pose_Ty_t4', 'pose_Ty_t3', 'pose_Tz_t6', 'pose_Tz_t5', 'pose_Tz_t4', 'pose_Tz_t3', 'pose_Rx_t6', 'pose_Rx_t5', 'pose_Rx_t4', 'pose_Rx_t3', 'pose_Ry_t6', 'pose_Ry_t5', 'pose_Ry_t4', 'pose_Ry_t3', 'pose_Rz_t6', 'pose_Rz_t5', 'pose_Rz_t4', 'pose_Rz_t3', 'angry_t6', 'angry_t5', 'angry_t4', 'angry_t3', 'disgust_t6', 'disgust_t5', 'disgust_t4', 'disgust_t3', 'fear_t6', 'fear_t5', 'fear_t4', 'fear_t3', 'happy_t6', 'happy_t5', 'happy_t4', 'happy_t3', 'sad_t6', 'sad_t5', 'sad_t4', 'sad_t3', 'surprise_t6', 'surprise_t5', 'surprise_t4', 'surprise_t3', 'neutral_t6', 'neutral_t5', 'neutral_t4', 'neutral_t3', 'Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3']	0.5550091548112663	0.5954079563649379	0.57	0.02486768924725655	0.02391571708199821	0.03519468053287792	0.5665136181909045,0.6018470925008881,0.526647834274953,0.5371666666666667,0.579273906176837,0.5415063798940666,0.5229592660787544,0.5398059992018439,0.5528815506779887,0.5814892344497608	256
7	rMPFC	None_256	6	{'C': 0.7, 'solver': 'liblinear'}	['Overlap', 'ReactionTime', 'LexicalRichness1', 'LexicalRichness2', 'pose_Tx', 'Vx', 'Discourses_left', 'SpeechActivity_left', 'dlib_smiles', 'head_translation_energy', 'fear', 'Subjectivity_left', 'pose_Ty', 'ReactionTime_left', 'disc_SpeechActivity', 'Laughters_left', 'mouth_AU', 'eyes_AU', 'gaze_angle_x', 'angry', 'gaze_angle_y', 'Overlap_left', 'LexicalRichness2_left', 'IPU', 'FilledBreaks', 'pose_Ry', 'pose_Rz', 'Mouth', 'Face', 'Feedbacks', 'Smile', 'disc_IPU', 'disc_SpeechActivity_left', 'IPU_left', 'UnionSocioItems', 'total_AU', 'AU6_r', 'FilledBreaks_left', 'neutral', 'Polarity', 'SpeechActivity', 'Feedbacks_left', 'head_rotation_energy', 'happy', 'Particles_left', 'Discourses', 'Subjectivity', 'disc_IPU_left', 'Eyes', 'AU01_r', 'pose_Rx', 'saccades', 'surprise', 'Particles', 'Polarity_left', 'AU02_r', 'LexicalRichness1_left', 'Laughters', 'UnionSocioItems_left', 'Vy', 'sad', 'pose_Tz', 'disgust', 'AU26_r']	['SpeechActivity_left_t6', 'SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3', 'disc_SpeechActivity_left_t6', 'disc_SpeechActivity_left_t5', 'disc_SpeechActivity_left_t4', 'disc_SpeechActivity_left_t3', 'IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3', 'Polarity_left_t6', 'Polarity_left_t5', 'Polarity_left_t4', 'Polarity_left_t3', 'Subjectivity_left_t6', 'Subjectivity_left_t5', 'Subjectivity_left_t4', 'Subjectivity_left_t3', 'Overlap_left_t6', 'Overlap_left_t5', 'Overlap_left_t4', 'Overlap_left_t3', 'ReactionTime_left_t6', 'ReactionTime_left_t5', 'ReactionTime_left_t4', 'ReactionTime_left_t3', 'FilledBreaks_left_t6', 'FilledBreaks_left_t5', 'FilledBreaks_left_t4', 'FilledBreaks_left_t3', 'Feedbacks_left_t6', 'Feedbacks_left_t5', 'Feedbacks_left_t4', 'Feedbacks_left_t3', 'Discourses_left_t6', 'Discourses_left_t5', 'Discourses_left_t4', 'Discourses_left_t3', 'Particles_left_t6', 'Particles_left_t5', 'Particles_left_t4', 'Particles_left_t3', 'Laughters_left_t6', 'Laughters_left_t5', 'Laughters_left_t4', 'Laughters_left_t3', 'LexicalRichness1_left_t6', 'LexicalRichness1_left_t5', 'LexicalRichness1_left_t4', 'LexicalRichness1_left_t3', 'LexicalRichness2_left_t6', 'LexicalRichness2_left_t5', 'LexicalRichness2_left_t4', 'LexicalRichness2_left_t3', 'UnionSocioItems_left_t6', 'UnionSocioItems_left_t5', 'UnionSocioItems_left_t4', 'UnionSocioItems_left_t3', 'SpeechActivity_t6', 'SpeechActivity_t5', 'SpeechActivity_t4', 'SpeechActivity_t3', 'disc_SpeechActivity_t6', 'disc_SpeechActivity_t5', 'disc_SpeechActivity_t4', 'disc_SpeechActivity_t3', 'IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3', 'Overlap_t6', 'Overlap_t5', 'Overlap_t4', 'Overlap_t3', 'ReactionTime_t6', 'ReactionTime_t5', 'ReactionTime_t4', 'ReactionTime_t3', 'FilledBreaks_t6', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t6', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t6', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t6', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t6', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3', 'LexicalRichness1_t6', 'LexicalRichness1_t5', 'LexicalRichness1_t4', 'LexicalRichness1_t3', 'LexicalRichness2_t6', 'LexicalRichness2_t5', 'LexicalRichness2_t4', 'LexicalRichness2_t3', 'UnionSocioItems_t6', 'UnionSocioItems_t5', 'UnionSocioItems_t4', 'UnionSocioItems_t3', 'Polarity_t6', 'Polarity_t5', 'Polarity_t4', 'Polarity_t3', 'Subjectivity_t6', 'Subjectivity_t5', 'Subjectivity_t4', 'Subjectivity_t3', 'dlib_smiles_t6', 'dlib_smiles_t5', 'dlib_smiles_t4', 'dlib_smiles_t3', 'Smile_t6', 'Smile_t5', 'Smile_t4', 'Smile_t3', 'mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'AU01_r_t6', 'AU01_r_t5', 'AU01_r_t4', 'AU01_r_t3', 'AU02_r_t6', 'AU02_r_t5', 'AU02_r_t4', 'AU02_r_t3', 'AU6_r_t6', 'AU6_r_t5', 'AU6_r_t4', 'AU6_r_t3', 'AU26_r_t6', 'AU26_r_t5', 'AU26_r_t4', 'AU26_r_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'gaze_angle_x_t6', 'gaze_angle_x_t5', 'gaze_angle_x_t4', 'gaze_angle_x_t3', 'gaze_angle_y_t6', 'gaze_angle_y_t5', 'gaze_angle_y_t4', 'gaze_angle_y_t3', 'pose_Tx_t6', 'pose_Tx_t5', 'pose_Tx_t4', 'pose_Tx_t3', 'pose_Ty_t6', 'pose_Ty_t5', 'pose_Ty_t4', 'pose_Ty_t3', 'pose_Tz_t6', 'pose_Tz_t5', 'pose_Tz_t4', 'pose_Tz_t3', 'pose_Rx_t6', 'pose_Rx_t5', 'pose_Rx_t4', 'pose_Rx_t3', 'pose_Ry_t6', 'pose_Ry_t5', 'pose_Ry_t4', 'pose_Ry_t3', 'pose_Rz_t6', 'pose_Rz_t5', 'pose_Rz_t4', 'pose_Rz_t3', 'angry_t6', 'angry_t5', 'angry_t4', 'angry_t3', 'disgust_t6', 'disgust_t5', 'disgust_t4', 'disgust_t3', 'fear_t6', 'fear_t5', 'fear_t4', 'fear_t3', 'happy_t6', 'happy_t5', 'happy_t4', 'happy_t3', 'sad_t6', 'sad_t5', 'sad_t4', 'sad_t3', 'surprise_t6', 'surprise_t5', 'surprise_t4', 'surprise_t3', 'neutral_t6', 'neutral_t5', 'neutral_t4', 'neutral_t3', 'Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3']	0.5212221840956109	0.5451640988266728	0.53	0.023780062433223986	0.04018510651298142	0.044964787473433764	0.47887535445017804,0.552344655360961,0.5422263309587254,0.5073801289653866,0.5130782356653655,0.4960150990235127,0.5568590445568008,0.5343777557319224,0.5205703048180924,0.510494931425164	256
