index	region	dm_method	lag	models_params	predictors_dict	selected_predictors	accuracy. mean	precision. mean	fscore. mean	accuracy. std	precision. std	fscore. std	K-Fscores	nb_predictors
0	RightTemporoParietalJunction	None_8	6	{'strategy': 'stratified', 'random_state': 5}	['IPU_left', 'disc_IPU_left']	['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3']	0.5047445696635934	0.5310850119816213	0.52	0.016004917777436727	0.0300460145073462	0.02901719661467015	0.49629872563718147,0.5356818989113855,0.5092278719397363,0.49094791666666665,0.4837563391347825,0.5219795382093462,0.48600881868398105,0.4998310026632351,0.5192319799790661,0.5044816048105522	8
1	rMPFC	None_8	6	{'strategy': 'stratified', 'random_state': 5}	['IPU_left', 'disc_IPU_left']	['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3']	0.5098241456304018	0.527289111523668	0.52	0.017697898891510695	0.028715044631925757	0.018659148145377103	0.5257056825140513,0.5305915092953792,0.4979063570612866,0.4779194115829654,0.493075196933218,0.5276232785777695,0.4994893481519451,0.5279706790123456,0.5202458210422812,0.4977141721327768	8
