region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;accuracy. mean;recall. std;precision. std;fscore. std;accuracy. std
LeftMotor;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t5'];0.712241653418124;0.507288172863783;0.5925427311630818;0.712241653418124;0.0;0.0;0.0;0.0
LeftSTS;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t5'];0.6461295418641391;0.4174833848695622;0.5072302929413298;0.6461295418641391;0.0;0.0;0.0;0.0
RightSTS;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t5'];0.6332982086406744;0.4010666210674872;0.49111254631360685;0.6332982086406744;0.0;0.0;0.0;0.0
RightMotor;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t4'];0.7069422363540011;0.49976732554119635;0.5855702845676731;0.7069422363540011;0.0;0.0;0.0;0.0
RightSTS;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t5', 'disc_IPU_t4'];0.6332982086406744;0.4010666210674872;0.49111254631360685;0.6332982086406744;0.0;0.0;0.0;0.0
LeftSTS;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t5', 'disc_IPU_t3'];0.6461295418641391;0.4174833848695622;0.5072302929413298;0.6461295418641391;0.0;0.0;0.0;0.0
LeftMotor;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t5', 'IPU_left_t4'];0.712241653418124;0.507288172863783;0.5925427311630818;0.712241653418124;0.0;0.0;0.0;0.0
RightSTS;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.6332982086406744;0.4010666210674872;0.49111254631360685;0.6332982086406744;0.0;0.0;0.0;0.0
RightMotor;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t4', 'IPU_left_t3'];0.7069422363540011;0.49976732554119635;0.5855702845676731;0.7069422363540011;0.0;0.0;0.0;0.0
LeftSTS;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t4', 'disc_IPU_t3'];0.6461295418641391;0.4174833848695622;0.5072302929413298;0.6461295418641391;0.0;0.0;0.0;0.0
RightSTS;RFE_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.6332982086406744;0.4010666210674872;0.49111254631360685;0.6332982086406744;0.0;0.0;0.0;0.0
LeftSTS;RFE_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.6461295418641391;0.4174833848695622;0.5072302929413298;0.6461295418641391;0.0;0.0;0.0;0.0
LeftMotor;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t3'];0.712241653418124;0.507288172863783;0.5925427311630818;0.712241653418124;0.0;0.0;0.0;0.0
RightMotor;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.7069422363540011;0.49976732554119635;0.5855702845676731;0.7069422363540011;0.0;0.0;0.0;0.0
LeftMotor;RFE_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.712241653418124;0.507288172863783;0.5925427311630818;0.712241653418124;0.0;0.0;0.0;0.0
RightMotor;RFE_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.7069422363540011;0.49976732554119635;0.5855702845676731;0.7069422363540011;0.0;0.0;0.0;0.0
RightSTS;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t5'];0.6343402225755167;0.40238751797715605;0.4924158537113447;0.6343402225755167;0.0;0.0;0.0;0.0
LeftSTS;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t5'];0.643879173290938;0.4145803897978218;0.5043927759822628;0.643879173290938;0.0;0.0;0.0;0.0
LeftMotor;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t3'];0.6984293193717277;0.48780351415805484;0.5744172084105331;0.6984293193717277;0.0;0.0;0.0;0.0
RightMotor;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t3'];0.6906135291033036;0.4769470465805196;0.5642295395961853;0.6906135291033036;0.0;0.0;0.0;0.0
RightSTS;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t5', 'IPU_t4'];0.6343402225755167;0.40238751797715605;0.4924158537113447;0.6343402225755167;0.0;0.0;0.0;0.0
LeftMotor;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t3'];0.6984293193717277;0.48780351415805484;0.5744172084105331;0.6984293193717277;0.0;0.0;0.0;0.0
LeftSTS;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t5', 'IPU_t4'];0.643879173290938;0.4145803897978218;0.5043927759822628;0.643879173290938;0.0;0.0;0.0;0.0
RightMotor;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t3'];0.6906135291033036;0.4769470465805196;0.5642295395961853;0.6906135291033036;0.0;0.0;0.0;0.0
LeftMotor;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t3'];0.6984293193717277;0.48780351415805484;0.5744172084105331;0.6984293193717277;0.0;0.0;0.0;0.0
RightMotor;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t3'];0.6906135291033036;0.4769470465805196;0.5642295395961853;0.6906135291033036;0.0;0.0;0.0;0.0
RightSTS;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t5', 'IPU_t4', 'IPU_t3'];0.6343402225755167;0.40238751797715605;0.4924158537113447;0.6343402225755167;0.0;0.0;0.0;0.0
LeftMotor;RFE_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.6984293193717277;0.48780351415805484;0.5744172084105331;0.6984293193717277;0.0;0.0;0.0;0.0
RightMotor;RFE_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.6906135291033036;0.4769470465805196;0.5642295395961853;0.6906135291033036;0.0;0.0;0.0;0.0
LeftSTS;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t5', 'IPU_t4', 'IPU_t3'];0.643879173290938;0.4145803897978218;0.5043927759822628;0.643879173290938;0.0;0.0;0.0;0.0
