index	region	dm_method	lag	models_params	predictors_dict	selected_predictors	accuracy. mean	precision. mean	fscore. mean	accuracy. std	precision. std	fscore. std	K-Fscores	nb_predictors
2	LeftSTS	None_4	6	{'C': 0.7, 'solver': 'liblinear'}	['IPU']	['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3']	0.6372150562398896	0.6522187516103083	0.65	0.06367475783255916	0.06554593301539692	0.06950114683904017	0.708341267219772,0.7140700933804383,0.523443089557346,0.5328536288281448,0.6935462579011943,0.6508367829447981,0.6012721269303467,0.6284339747843397,0.6578139047048247,0.6615394361476904	4
6	RightTemporoParietalJunction	None_256	6	{'C': 0.7, 'solver': 'liblinear'}	['happy', 'surprise', 'disc_SpeechActivity_left', 'dlib_smiles', 'head_translation_energy', 'gaze_angle_y', 'SpeechActivity_left', 'LexicalRichness2_left', 'Overlap', 'AU6_r', 'fear', 'pose_Tx', 'UnionSocioItems_left', 'Eyes', 'disc_SpeechActivity', 'Polarity', 'Particles', 'Laughters', 'head_rotation_energy', 'UnionSocioItems', 'LexicalRichness1_left', 'gaze_angle_x', 'pose_Rx', 'disc_IPU_left', 'pose_Ry', 'IPU', 'Smile', 'disgust', 'pose_Ty', 'AU01_r', 'ReactionTime_left', 'Mouth', 'Overlap_left', 'eyes_AU', 'total_AU', 'Face', 'Vx', 'Subjectivity', 'neutral', 'AU26_r', 'FilledBreaks_left', 'SpeechActivity', 'IPU_left', 'Feedbacks_left', 'pose_Rz', 'sad', 'Subjectivity_left', 'Discourses_left', 'Discourses', 'disc_IPU', 'Feedbacks', 'LexicalRichness2', 'FilledBreaks', 'mouth_AU', 'Particles_left', 'LexicalRichness1', 'AU02_r', 'angry', 'Laughters_left', 'Vy', 'ReactionTime', 'saccades', 'Polarity_left', 'pose_Tz']	['SpeechActivity_left_t6', 'SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3', 'disc_SpeechActivity_left_t6', 'disc_SpeechActivity_left_t5', 'disc_SpeechActivity_left_t4', 'disc_SpeechActivity_left_t3', 'IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3', 'Polarity_left_t6', 'Polarity_left_t5', 'Polarity_left_t4', 'Polarity_left_t3', 'Subjectivity_left_t6', 'Subjectivity_left_t5', 'Subjectivity_left_t4', 'Subjectivity_left_t3', 'Overlap_left_t6', 'Overlap_left_t5', 'Overlap_left_t4', 'Overlap_left_t3', 'ReactionTime_left_t6', 'ReactionTime_left_t5', 'ReactionTime_left_t4', 'ReactionTime_left_t3', 'FilledBreaks_left_t6', 'FilledBreaks_left_t5', 'FilledBreaks_left_t4', 'FilledBreaks_left_t3', 'Feedbacks_left_t6', 'Feedbacks_left_t5', 'Feedbacks_left_t4', 'Feedbacks_left_t3', 'Discourses_left_t6', 'Discourses_left_t5', 'Discourses_left_t4', 'Discourses_left_t3', 'Particles_left_t6', 'Particles_left_t5', 'Particles_left_t4', 'Particles_left_t3', 'Laughters_left_t6', 'Laughters_left_t5', 'Laughters_left_t4', 'Laughters_left_t3', 'LexicalRichness1_left_t6', 'LexicalRichness1_left_t5', 'LexicalRichness1_left_t4', 'LexicalRichness1_left_t3', 'LexicalRichness2_left_t6', 'LexicalRichness2_left_t5', 'LexicalRichness2_left_t4', 'LexicalRichness2_left_t3', 'UnionSocioItems_left_t6', 'UnionSocioItems_left_t5', 'UnionSocioItems_left_t4', 'UnionSocioItems_left_t3', 'SpeechActivity_t6', 'SpeechActivity_t5', 'SpeechActivity_t4', 'SpeechActivity_t3', 'disc_SpeechActivity_t6', 'disc_SpeechActivity_t5', 'disc_SpeechActivity_t4', 'disc_SpeechActivity_t3', 'IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3', 'Overlap_t6', 'Overlap_t5', 'Overlap_t4', 'Overlap_t3', 'ReactionTime_t6', 'ReactionTime_t5', 'ReactionTime_t4', 'ReactionTime_t3', 'FilledBreaks_t6', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t6', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t6', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t6', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t6', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3', 'LexicalRichness1_t6', 'LexicalRichness1_t5', 'LexicalRichness1_t4', 'LexicalRichness1_t3', 'LexicalRichness2_t6', 'LexicalRichness2_t5', 'LexicalRichness2_t4', 'LexicalRichness2_t3', 'UnionSocioItems_t6', 'UnionSocioItems_t5', 'UnionSocioItems_t4', 'UnionSocioItems_t3', 'Polarity_t6', 'Polarity_t5', 'Polarity_t4', 'Polarity_t3', 'Subjectivity_t6', 'Subjectivity_t5', 'Subjectivity_t4', 'Subjectivity_t3', 'dlib_smiles_t6', 'dlib_smiles_t5', 'dlib_smiles_t4', 'dlib_smiles_t3', 'Smile_t6', 'Smile_t5', 'Smile_t4', 'Smile_t3', 'mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'AU01_r_t6', 'AU01_r_t5', 'AU01_r_t4', 'AU01_r_t3', 'AU02_r_t6', 'AU02_r_t5', 'AU02_r_t4', 'AU02_r_t3', 'AU6_r_t6', 'AU6_r_t5', 'AU6_r_t4', 'AU6_r_t3', 'AU26_r_t6', 'AU26_r_t5', 'AU26_r_t4', 'AU26_r_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'gaze_angle_x_t6', 'gaze_angle_x_t5', 'gaze_angle_x_t4', 'gaze_angle_x_t3', 'gaze_angle_y_t6', 'gaze_angle_y_t5', 'gaze_angle_y_t4', 'gaze_angle_y_t3', 'pose_Tx_t6', 'pose_Tx_t5', 'pose_Tx_t4', 'pose_Tx_t3', 'pose_Ty_t6', 'pose_Ty_t5', 'pose_Ty_t4', 'pose_Ty_t3', 'pose_Tz_t6', 'pose_Tz_t5', 'pose_Tz_t4', 'pose_Tz_t3', 'pose_Rx_t6', 'pose_Rx_t5', 'pose_Rx_t4', 'pose_Rx_t3', 'pose_Ry_t6', 'pose_Ry_t5', 'pose_Ry_t4', 'pose_Ry_t3', 'pose_Rz_t6', 'pose_Rz_t5', 'pose_Rz_t4', 'pose_Rz_t3', 'angry_t6', 'angry_t5', 'angry_t4', 'angry_t3', 'disgust_t6', 'disgust_t5', 'disgust_t4', 'disgust_t3', 'fear_t6', 'fear_t5', 'fear_t4', 'fear_t3', 'happy_t6', 'happy_t5', 'happy_t4', 'happy_t3', 'sad_t6', 'sad_t5', 'sad_t4', 'sad_t3', 'surprise_t6', 'surprise_t5', 'surprise_t4', 'surprise_t3', 'neutral_t6', 'neutral_t5', 'neutral_t4', 'neutral_t3', 'Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3']	0.5691010288406393	0.598112451163119	0.58	0.02628021489176577	0.030595565359777182	0.03363194883172798	0.5925247001802025,0.5893915919017707,0.5457936507936508,0.5456074105838257,0.6064057724422598,0.5867157490396927,0.5817189476247713,0.5605042874642712,0.5151349683055958,0.5672132100703529	256
7	rMPFC	None_256	6	{'C': 0.7, 'solver': 'liblinear'}	['disc_SpeechActivity', 'FilledBreaks', 'total_AU', 'Laughters', 'Mouth', 'Vy', 'AU01_r', 'Discourses', 'pose_Rx', 'ReactionTime', 'mouth_AU', 'neutral', 'disc_IPU_left', 'Eyes', 'Overlap_left', 'AU6_r', 'pose_Tz', 'Particles_left', 'gaze_angle_y', 'dlib_smiles', 'Subjectivity', 'Overlap', 'Feedbacks_left', 'IPU_left', 'fear', 'pose_Rz', 'FilledBreaks_left', 'head_rotation_energy', 'LexicalRichness2_left', 'gaze_angle_x', 'disgust', 'pose_Tx', 'UnionSocioItems_left', 'head_translation_energy', 'pose_Ty', 'ReactionTime_left', 'disc_SpeechActivity_left', 'Feedbacks', 'Particles', 'LexicalRichness1', 'Polarity', 'AU26_r', 'pose_Ry', 'happy', 'saccades', 'Face', 'Smile', 'angry', 'SpeechActivity_left', 'disc_IPU', 'IPU', 'Subjectivity_left', 'LexicalRichness1_left', 'UnionSocioItems', 'LexicalRichness2', 'SpeechActivity', 'Polarity_left', 'sad', 'Vx', 'eyes_AU', 'surprise', 'Discourses_left', 'AU02_r', 'Laughters_left']	['SpeechActivity_left_t6', 'SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3', 'disc_SpeechActivity_left_t6', 'disc_SpeechActivity_left_t5', 'disc_SpeechActivity_left_t4', 'disc_SpeechActivity_left_t3', 'IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3', 'Polarity_left_t6', 'Polarity_left_t5', 'Polarity_left_t4', 'Polarity_left_t3', 'Subjectivity_left_t6', 'Subjectivity_left_t5', 'Subjectivity_left_t4', 'Subjectivity_left_t3', 'Overlap_left_t6', 'Overlap_left_t5', 'Overlap_left_t4', 'Overlap_left_t3', 'ReactionTime_left_t6', 'ReactionTime_left_t5', 'ReactionTime_left_t4', 'ReactionTime_left_t3', 'FilledBreaks_left_t6', 'FilledBreaks_left_t5', 'FilledBreaks_left_t4', 'FilledBreaks_left_t3', 'Feedbacks_left_t6', 'Feedbacks_left_t5', 'Feedbacks_left_t4', 'Feedbacks_left_t3', 'Discourses_left_t6', 'Discourses_left_t5', 'Discourses_left_t4', 'Discourses_left_t3', 'Particles_left_t6', 'Particles_left_t5', 'Particles_left_t4', 'Particles_left_t3', 'Laughters_left_t6', 'Laughters_left_t5', 'Laughters_left_t4', 'Laughters_left_t3', 'LexicalRichness1_left_t6', 'LexicalRichness1_left_t5', 'LexicalRichness1_left_t4', 'LexicalRichness1_left_t3', 'LexicalRichness2_left_t6', 'LexicalRichness2_left_t5', 'LexicalRichness2_left_t4', 'LexicalRichness2_left_t3', 'UnionSocioItems_left_t6', 'UnionSocioItems_left_t5', 'UnionSocioItems_left_t4', 'UnionSocioItems_left_t3', 'SpeechActivity_t6', 'SpeechActivity_t5', 'SpeechActivity_t4', 'SpeechActivity_t3', 'disc_SpeechActivity_t6', 'disc_SpeechActivity_t5', 'disc_SpeechActivity_t4', 'disc_SpeechActivity_t3', 'IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3', 'Overlap_t6', 'Overlap_t5', 'Overlap_t4', 'Overlap_t3', 'ReactionTime_t6', 'ReactionTime_t5', 'ReactionTime_t4', 'ReactionTime_t3', 'FilledBreaks_t6', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t6', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t6', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t6', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t6', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3', 'LexicalRichness1_t6', 'LexicalRichness1_t5', 'LexicalRichness1_t4', 'LexicalRichness1_t3', 'LexicalRichness2_t6', 'LexicalRichness2_t5', 'LexicalRichness2_t4', 'LexicalRichness2_t3', 'UnionSocioItems_t6', 'UnionSocioItems_t5', 'UnionSocioItems_t4', 'UnionSocioItems_t3', 'Polarity_t6', 'Polarity_t5', 'Polarity_t4', 'Polarity_t3', 'Subjectivity_t6', 'Subjectivity_t5', 'Subjectivity_t4', 'Subjectivity_t3', 'dlib_smiles_t6', 'dlib_smiles_t5', 'dlib_smiles_t4', 'dlib_smiles_t3', 'Smile_t6', 'Smile_t5', 'Smile_t4', 'Smile_t3', 'mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'AU01_r_t6', 'AU01_r_t5', 'AU01_r_t4', 'AU01_r_t3', 'AU02_r_t6', 'AU02_r_t5', 'AU02_r_t4', 'AU02_r_t3', 'AU6_r_t6', 'AU6_r_t5', 'AU6_r_t4', 'AU6_r_t3', 'AU26_r_t6', 'AU26_r_t5', 'AU26_r_t4', 'AU26_r_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'gaze_angle_x_t6', 'gaze_angle_x_t5', 'gaze_angle_x_t4', 'gaze_angle_x_t3', 'gaze_angle_y_t6', 'gaze_angle_y_t5', 'gaze_angle_y_t4', 'gaze_angle_y_t3', 'pose_Tx_t6', 'pose_Tx_t5', 'pose_Tx_t4', 'pose_Tx_t3', 'pose_Ty_t6', 'pose_Ty_t5', 'pose_Ty_t4', 'pose_Ty_t3', 'pose_Tz_t6', 'pose_Tz_t5', 'pose_Tz_t4', 'pose_Tz_t3', 'pose_Rx_t6', 'pose_Rx_t5', 'pose_Rx_t4', 'pose_Rx_t3', 'pose_Ry_t6', 'pose_Ry_t5', 'pose_Ry_t4', 'pose_Ry_t3', 'pose_Rz_t6', 'pose_Rz_t5', 'pose_Rz_t4', 'pose_Rz_t3', 'angry_t6', 'angry_t5', 'angry_t4', 'angry_t3', 'disgust_t6', 'disgust_t5', 'disgust_t4', 'disgust_t3', 'fear_t6', 'fear_t5', 'fear_t4', 'fear_t3', 'happy_t6', 'happy_t5', 'happy_t4', 'happy_t3', 'sad_t6', 'sad_t5', 'sad_t4', 'sad_t3', 'surprise_t6', 'surprise_t5', 'surprise_t4', 'surprise_t3', 'neutral_t6', 'neutral_t5', 'neutral_t4', 'neutral_t3', 'Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3']	0.5207911677393955	0.5420156348317565	0.52	0.03138232622765661	0.04914867750676015	0.04990155807984652	0.45810012437810943,0.5505799033561132,0.5332165520888419,0.5330066126187187,0.5138960440864244,0.4930001089477206,0.5443236799391129,0.564457048328016,0.48465603190428713,0.53267557174661	256
