region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;accuracy. mean;recall. std;precision. std;fscore. std;accuracy. std
RightSTS;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t3'];0.6868740115972588;0.7201771841716482;0.6944740160994022;0.6868740115972588;0.0;0.0;0.0;0.0
LeftSTS;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t3'];0.6859243697478992;0.7178455657631403;0.6930599344114751;0.6859243697478992;0.0;0.0;0.0;0.0
LeftMotor;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t3'];0.6899841017488076;0.6414202223966287;0.641565775281772;0.6899841017488076;0.0;0.0;0.0;0.0
RightMotor;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t3'];0.6836248012718601;0.63481578182117;0.6332712323136386;0.6836248012718601;0.0;0.0;0.0;0.0
RightSTS;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t4', 'disc_IPU_t3'];0.6868740115972588;0.7201771841716482;0.6944740160994022;0.6868740115972588;0.0;0.0;0.0;0.0
LeftSTS;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t4', 'disc_IPU_t3'];0.7184873949579832;0.7216540586787685;0.71989134975155;0.7184873949579832;0.0;0.0;0.0;0.0
RightSTS;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t4', 'disc_IPU_t3'];0.6858197153400105;0.6691550378836422;0.6706036330661354;0.6858197153400105;0.0;0.0;0.0;0.0
LeftSTS;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t4', 'disc_IPU_t3'];0.7184873949579832;0.7216540586787685;0.71989134975155;0.7184873949579832;0.0;0.0;0.0;0.0
RightSTS;RFE_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.6858197153400105;0.6691550378836422;0.6706036330661354;0.6858197153400105;0.0;0.0;0.0;0.0
LeftSTS;RFE_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.7184873949579832;0.7216540586787685;0.71989134975155;0.7184873949579832;0.0;0.0;0.0;0.0
LeftMotor;RFE_2;6;{'C': 0.8, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t4', 'IPU_left_t3'];0.7027027027027027;0.6618636843552763;0.6553683238955992;0.7027027027027027;0.0;0.0;0.0;0.0
RightMotor;RFE_2;6;{'C': 0.8, 'solver': 'liblinear'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t4', 'IPU_left_t3'];0.6873343932167462;0.6411354979177969;0.6378046678123815;0.6873343932167462;0.0;0.0;0.0;0.0
LeftMotor;RFE_3;6;{'C': 0.7, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.7037625861155273;0.6637978900539955;0.6570479964102122;0.7037625861155273;0.0;0.0;0.0;0.0
RightMotor;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6830948595654478;0.6340906625317656;0.6328935446640749;0.6830948595654478;0.0;0.0;0.0;0.0
LeftMotor;RFE_4;6;{'C': 0.8, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.7021727609962904;0.6614701074864887;0.6558822899963239;0.7021727609962904;0.0;0.0;0.0;0.0
RightMotor;RFE_4;6;{'C': 0.9, 'solver': 'liblinear'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6857445680975093;0.6383495745065844;0.6357283764857414;0.6857445680975093;0.0;0.0;0.0;0.0
RightSTS;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t3'];0.7080021197668257;0.6968764190057275;0.6977056920187731;0.7080021197668257;0.0;0.0;0.0;0.0
LeftSTS;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t3'];0.6958134605193429;0.6782674480395681;0.6810009503940985;0.6958134605193429;0.0;0.0;0.0;0.0
RightMotor;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t4'];0.7066877303844129;0.49940754827587264;0.5852359976401618;0.7066877303844129;0.0;0.0;0.0;0.0
LeftMotor;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t4'];0.7121771217712177;0.5071962527743359;0.5924576918182975;0.7121771217712177;0.0;0.0;0.0;0.0
RightSTS;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t4', 'IPU_t3'];0.7080021197668257;0.6968764190057275;0.6977056920187731;0.7080021197668257;0.0;0.0;0.0;0.0
LeftSTS;RFE_2;6;{'C': 0.7, 'solver': 'liblinear'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t4', 'IPU_t3'];0.703232644409115;0.6858572790969415;0.6874268411972481;0.703232644409115;0.0;0.0;0.0;0.0
RightMotor;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t5', 'talk_left_t4'];0.7066877303844129;0.49940754827587264;0.5852359976401618;0.7066877303844129;0.0;0.0;0.0;0.0
LeftMotor;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t5', 'talk_left_t4'];0.7121771217712177;0.5071962527743359;0.5924576918182975;0.7121771217712177;0.0;0.0;0.0;0.0
RightMotor;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.7066877303844129;0.49940754827587264;0.5852359976401618;0.7066877303844129;0.0;0.0;0.0;0.0
LeftMotor;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.7121771217712177;0.5071962527743359;0.5924576918182975;0.7121771217712177;0.0;0.0;0.0;0.0
RightSTS;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t6', 'IPU_t4', 'IPU_t3'];0.7117117117117117;0.7014049866646794;0.7024880717436328;0.7117117117117117;0.0;0.0;0.0;0.0
RightMotor;RFE_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.7014218009478673;0.617389099696761;0.5996199065699843;0.7014218009478673;0.0;0.0;0.0;0.0
LeftMotor;RFE_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.7079599367422246;0.6295045292259304;0.6082634695665138;0.7079599367422246;0.0;0.0;0.0;0.0
LeftSTS;RFE_3;6;{'C': 1, 'solver': 'liblinear'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t5', 'IPU_t4', 'IPU_t3'];0.7005829358770536;0.682480312836159;0.6840515059881186;0.7005829358770536;0.0;0.0;0.0;0.0
RightSTS;RFE_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];0.7117117117117117;0.7014049866646794;0.7024880717436328;0.7117117117117117;0.0;0.0;0.0;0.0
LeftSTS;RFE_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];0.7106518282988871;0.6947052341174055;0.6959076333832859;0.7106518282988871;0.0;0.0;0.0;0.0
RightMotor;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t3'];0.7052631578947368;0.49739612188365645;0.5833658219623132;0.7052631578947368;0.0;0.0;0.0;0.0
LeftMotor;RFE_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t3'];0.7262658227848101;0.5274620453452972;0.6111017647263571;0.7262658227848101;0.0;0.0;0.0;0.0
RightMotor;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t4', 'disc_IPU_left_t3'];0.6789473684210526;0.66147515356131;0.6680344810398752;0.6789473684210526;0.0;0.0;0.0;0.0
LeftMotor;RFE_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t4', 'disc_IPU_left_t3'];0.7262658227848101;0.5274620453452972;0.6111017647263571;0.7262658227848101;0.0;0.0;0.0;0.0
RightMotor;RFE_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.6789473684210526;0.66147515356131;0.6680344810398752;0.6789473684210526;0.0;0.0;0.0;0.0
