index	region	dm_method	lag	models_params	predictors_dict	selected_predictors	accuracy. mean	precision. mean	fscore. mean	accuracy. std	precision. std	fscore. std	K-Fscores	nb_predictors
1	LeftSTS	None_4	6	{'C': 0.7, 'kernel': 'rbf', 'random_state': 5}	['disc_IPU']	['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3']	0.6375368308927474	0.6526996668675041	0.65	0.03794937871723412	0.03847110786470683	0.03925543980692038	0.6781035471937009,0.6739680538041194,0.5558497892077624,0.660458751626126,0.6087909992372235,0.6501425866623034,0.6020114942528736,0.6343146595267624,0.6303590379873272,0.6813693894292745	4
6	RightTemporoParietalJunction	None_256	6	{'C': 1, 'kernel': 'linear', 'random_state': 5}	['pose_Rx', 'AU01_r', 'LexicalRichness2_left', 'IPU_left', 'head_rotation_energy', 'Face', 'Vx', 'disgust', 'total_AU', 'Smile', 'mouth_AU', 'LexicalRichness1_left', 'ReactionTime_left', 'UnionSocioItems_left', 'LexicalRichness1', 'pose_Tz', 'disc_SpeechActivity_left', 'pose_Ry', 'Feedbacks', 'pose_Rz', 'Particles_left', 'surprise', 'dlib_smiles', 'Polarity', 'IPU', 'Laughters', 'disc_IPU', 'Particles', 'gaze_angle_y', 'Vy', 'saccades', 'disc_SpeechActivity', 'SpeechActivity', 'LexicalRichness2', 'FilledBreaks', 'Feedbacks_left', 'Eyes', 'pose_Ty', 'eyes_AU', 'FilledBreaks_left', 'Overlap_left', 'AU6_r', 'Polarity_left', 'Subjectivity', 'AU26_r', 'gaze_angle_x', 'UnionSocioItems', 'AU02_r', 'fear', 'neutral', 'angry', 'pose_Tx', 'Subjectivity_left', 'ReactionTime', 'Mouth', 'Overlap', 'head_translation_energy', 'sad', 'Discourses', 'happy', 'SpeechActivity_left', 'Discourses_left', 'disc_IPU_left', 'Laughters_left']	['SpeechActivity_left_t6', 'SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3', 'disc_SpeechActivity_left_t6', 'disc_SpeechActivity_left_t5', 'disc_SpeechActivity_left_t4', 'disc_SpeechActivity_left_t3', 'IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3', 'Polarity_left_t6', 'Polarity_left_t5', 'Polarity_left_t4', 'Polarity_left_t3', 'Subjectivity_left_t6', 'Subjectivity_left_t5', 'Subjectivity_left_t4', 'Subjectivity_left_t3', 'Overlap_left_t6', 'Overlap_left_t5', 'Overlap_left_t4', 'Overlap_left_t3', 'ReactionTime_left_t6', 'ReactionTime_left_t5', 'ReactionTime_left_t4', 'ReactionTime_left_t3', 'FilledBreaks_left_t6', 'FilledBreaks_left_t5', 'FilledBreaks_left_t4', 'FilledBreaks_left_t3', 'Feedbacks_left_t6', 'Feedbacks_left_t5', 'Feedbacks_left_t4', 'Feedbacks_left_t3', 'Discourses_left_t6', 'Discourses_left_t5', 'Discourses_left_t4', 'Discourses_left_t3', 'Particles_left_t6', 'Particles_left_t5', 'Particles_left_t4', 'Particles_left_t3', 'Laughters_left_t6', 'Laughters_left_t5', 'Laughters_left_t4', 'Laughters_left_t3', 'LexicalRichness1_left_t6', 'LexicalRichness1_left_t5', 'LexicalRichness1_left_t4', 'LexicalRichness1_left_t3', 'LexicalRichness2_left_t6', 'LexicalRichness2_left_t5', 'LexicalRichness2_left_t4', 'LexicalRichness2_left_t3', 'UnionSocioItems_left_t6', 'UnionSocioItems_left_t5', 'UnionSocioItems_left_t4', 'UnionSocioItems_left_t3', 'SpeechActivity_t6', 'SpeechActivity_t5', 'SpeechActivity_t4', 'SpeechActivity_t3', 'disc_SpeechActivity_t6', 'disc_SpeechActivity_t5', 'disc_SpeechActivity_t4', 'disc_SpeechActivity_t3', 'IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3', 'Overlap_t6', 'Overlap_t5', 'Overlap_t4', 'Overlap_t3', 'ReactionTime_t6', 'ReactionTime_t5', 'ReactionTime_t4', 'ReactionTime_t3', 'FilledBreaks_t6', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t6', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t6', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t6', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t6', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3', 'LexicalRichness1_t6', 'LexicalRichness1_t5', 'LexicalRichness1_t4', 'LexicalRichness1_t3', 'LexicalRichness2_t6', 'LexicalRichness2_t5', 'LexicalRichness2_t4', 'LexicalRichness2_t3', 'UnionSocioItems_t6', 'UnionSocioItems_t5', 'UnionSocioItems_t4', 'UnionSocioItems_t3', 'Polarity_t6', 'Polarity_t5', 'Polarity_t4', 'Polarity_t3', 'Subjectivity_t6', 'Subjectivity_t5', 'Subjectivity_t4', 'Subjectivity_t3', 'dlib_smiles_t6', 'dlib_smiles_t5', 'dlib_smiles_t4', 'dlib_smiles_t3', 'Smile_t6', 'Smile_t5', 'Smile_t4', 'Smile_t3', 'mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'AU01_r_t6', 'AU01_r_t5', 'AU01_r_t4', 'AU01_r_t3', 'AU02_r_t6', 'AU02_r_t5', 'AU02_r_t4', 'AU02_r_t3', 'AU6_r_t6', 'AU6_r_t5', 'AU6_r_t4', 'AU6_r_t3', 'AU26_r_t6', 'AU26_r_t5', 'AU26_r_t4', 'AU26_r_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'gaze_angle_x_t6', 'gaze_angle_x_t5', 'gaze_angle_x_t4', 'gaze_angle_x_t3', 'gaze_angle_y_t6', 'gaze_angle_y_t5', 'gaze_angle_y_t4', 'gaze_angle_y_t3', 'pose_Tx_t6', 'pose_Tx_t5', 'pose_Tx_t4', 'pose_Tx_t3', 'pose_Ty_t6', 'pose_Ty_t5', 'pose_Ty_t4', 'pose_Ty_t3', 'pose_Tz_t6', 'pose_Tz_t5', 'pose_Tz_t4', 'pose_Tz_t3', 'pose_Rx_t6', 'pose_Rx_t5', 'pose_Rx_t4', 'pose_Rx_t3', 'pose_Ry_t6', 'pose_Ry_t5', 'pose_Ry_t4', 'pose_Ry_t3', 'pose_Rz_t6', 'pose_Rz_t5', 'pose_Rz_t4', 'pose_Rz_t3', 'angry_t6', 'angry_t5', 'angry_t4', 'angry_t3', 'disgust_t6', 'disgust_t5', 'disgust_t4', 'disgust_t3', 'fear_t6', 'fear_t5', 'fear_t4', 'fear_t3', 'happy_t6', 'happy_t5', 'happy_t4', 'happy_t3', 'sad_t6', 'sad_t5', 'sad_t4', 'sad_t3', 'surprise_t6', 'surprise_t5', 'surprise_t4', 'surprise_t3', 'neutral_t6', 'neutral_t5', 'neutral_t4', 'neutral_t3', 'Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3']	0.5595030212612616	0.6018626936038678	0.57	0.02345868854314872	0.029228117130473907	0.03218818457451087	0.5812250124937531,0.5923880565828789,0.5466219397363465,0.5320208333333334,0.566212709221209,0.5433021409095776,0.533968488548632,0.543454712785972,0.554113184383042,0.6017231346178714	256
7	rMPFC	None_256	6	{'C': 0.7, 'kernel': 'sigmoid', 'random_state': 5}	['pose_Rx', 'AU01_r', 'LexicalRichness2_left', 'IPU_left', 'head_rotation_energy', 'Face', 'Vx', 'disgust', 'total_AU', 'Smile', 'mouth_AU', 'LexicalRichness1_left', 'ReactionTime_left', 'UnionSocioItems_left', 'LexicalRichness1', 'pose_Tz', 'disc_SpeechActivity_left', 'pose_Ry', 'Feedbacks', 'pose_Rz', 'Particles_left', 'surprise', 'dlib_smiles', 'Polarity', 'IPU', 'Laughters', 'disc_IPU', 'Particles', 'gaze_angle_y', 'Vy', 'saccades', 'disc_SpeechActivity', 'SpeechActivity', 'LexicalRichness2', 'FilledBreaks', 'Feedbacks_left', 'Eyes', 'pose_Ty', 'eyes_AU', 'FilledBreaks_left', 'Overlap_left', 'AU6_r', 'Polarity_left', 'Subjectivity', 'AU26_r', 'gaze_angle_x', 'UnionSocioItems', 'AU02_r', 'fear', 'neutral', 'angry', 'pose_Tx', 'Subjectivity_left', 'ReactionTime', 'Mouth', 'Overlap', 'head_translation_energy', 'sad', 'Discourses', 'happy', 'SpeechActivity_left', 'Discourses_left', 'disc_IPU_left', 'Laughters_left']	['SpeechActivity_left_t6', 'SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3', 'disc_SpeechActivity_left_t6', 'disc_SpeechActivity_left_t5', 'disc_SpeechActivity_left_t4', 'disc_SpeechActivity_left_t3', 'IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3', 'Polarity_left_t6', 'Polarity_left_t5', 'Polarity_left_t4', 'Polarity_left_t3', 'Subjectivity_left_t6', 'Subjectivity_left_t5', 'Subjectivity_left_t4', 'Subjectivity_left_t3', 'Overlap_left_t6', 'Overlap_left_t5', 'Overlap_left_t4', 'Overlap_left_t3', 'ReactionTime_left_t6', 'ReactionTime_left_t5', 'ReactionTime_left_t4', 'ReactionTime_left_t3', 'FilledBreaks_left_t6', 'FilledBreaks_left_t5', 'FilledBreaks_left_t4', 'FilledBreaks_left_t3', 'Feedbacks_left_t6', 'Feedbacks_left_t5', 'Feedbacks_left_t4', 'Feedbacks_left_t3', 'Discourses_left_t6', 'Discourses_left_t5', 'Discourses_left_t4', 'Discourses_left_t3', 'Particles_left_t6', 'Particles_left_t5', 'Particles_left_t4', 'Particles_left_t3', 'Laughters_left_t6', 'Laughters_left_t5', 'Laughters_left_t4', 'Laughters_left_t3', 'LexicalRichness1_left_t6', 'LexicalRichness1_left_t5', 'LexicalRichness1_left_t4', 'LexicalRichness1_left_t3', 'LexicalRichness2_left_t6', 'LexicalRichness2_left_t5', 'LexicalRichness2_left_t4', 'LexicalRichness2_left_t3', 'UnionSocioItems_left_t6', 'UnionSocioItems_left_t5', 'UnionSocioItems_left_t4', 'UnionSocioItems_left_t3', 'SpeechActivity_t6', 'SpeechActivity_t5', 'SpeechActivity_t4', 'SpeechActivity_t3', 'disc_SpeechActivity_t6', 'disc_SpeechActivity_t5', 'disc_SpeechActivity_t4', 'disc_SpeechActivity_t3', 'IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3', 'disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3', 'Overlap_t6', 'Overlap_t5', 'Overlap_t4', 'Overlap_t3', 'ReactionTime_t6', 'ReactionTime_t5', 'ReactionTime_t4', 'ReactionTime_t3', 'FilledBreaks_t6', 'FilledBreaks_t5', 'FilledBreaks_t4', 'FilledBreaks_t3', 'Feedbacks_t6', 'Feedbacks_t5', 'Feedbacks_t4', 'Feedbacks_t3', 'Discourses_t6', 'Discourses_t5', 'Discourses_t4', 'Discourses_t3', 'Particles_t6', 'Particles_t5', 'Particles_t4', 'Particles_t3', 'Laughters_t6', 'Laughters_t5', 'Laughters_t4', 'Laughters_t3', 'LexicalRichness1_t6', 'LexicalRichness1_t5', 'LexicalRichness1_t4', 'LexicalRichness1_t3', 'LexicalRichness2_t6', 'LexicalRichness2_t5', 'LexicalRichness2_t4', 'LexicalRichness2_t3', 'UnionSocioItems_t6', 'UnionSocioItems_t5', 'UnionSocioItems_t4', 'UnionSocioItems_t3', 'Polarity_t6', 'Polarity_t5', 'Polarity_t4', 'Polarity_t3', 'Subjectivity_t6', 'Subjectivity_t5', 'Subjectivity_t4', 'Subjectivity_t3', 'dlib_smiles_t6', 'dlib_smiles_t5', 'dlib_smiles_t4', 'dlib_smiles_t3', 'Smile_t6', 'Smile_t5', 'Smile_t4', 'Smile_t3', 'mouth_AU_t6', 'mouth_AU_t5', 'mouth_AU_t4', 'mouth_AU_t3', 'eyes_AU_t6', 'eyes_AU_t5', 'eyes_AU_t4', 'eyes_AU_t3', 'total_AU_t6', 'total_AU_t5', 'total_AU_t4', 'total_AU_t3', 'AU01_r_t6', 'AU01_r_t5', 'AU01_r_t4', 'AU01_r_t3', 'AU02_r_t6', 'AU02_r_t5', 'AU02_r_t4', 'AU02_r_t3', 'AU6_r_t6', 'AU6_r_t5', 'AU6_r_t4', 'AU6_r_t3', 'AU26_r_t6', 'AU26_r_t5', 'AU26_r_t4', 'AU26_r_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'head_rotation_energy_t4', 'head_rotation_energy_t3', 'head_translation_energy_t6', 'head_translation_energy_t5', 'head_translation_energy_t4', 'head_translation_energy_t3', 'gaze_angle_x_t6', 'gaze_angle_x_t5', 'gaze_angle_x_t4', 'gaze_angle_x_t3', 'gaze_angle_y_t6', 'gaze_angle_y_t5', 'gaze_angle_y_t4', 'gaze_angle_y_t3', 'pose_Tx_t6', 'pose_Tx_t5', 'pose_Tx_t4', 'pose_Tx_t3', 'pose_Ty_t6', 'pose_Ty_t5', 'pose_Ty_t4', 'pose_Ty_t3', 'pose_Tz_t6', 'pose_Tz_t5', 'pose_Tz_t4', 'pose_Tz_t3', 'pose_Rx_t6', 'pose_Rx_t5', 'pose_Rx_t4', 'pose_Rx_t3', 'pose_Ry_t6', 'pose_Ry_t5', 'pose_Ry_t4', 'pose_Ry_t3', 'pose_Rz_t6', 'pose_Rz_t5', 'pose_Rz_t4', 'pose_Rz_t3', 'angry_t6', 'angry_t5', 'angry_t4', 'angry_t3', 'disgust_t6', 'disgust_t5', 'disgust_t4', 'disgust_t3', 'fear_t6', 'fear_t5', 'fear_t4', 'fear_t3', 'happy_t6', 'happy_t5', 'happy_t4', 'happy_t3', 'sad_t6', 'sad_t5', 'sad_t4', 'sad_t3', 'surprise_t6', 'surprise_t5', 'surprise_t4', 'surprise_t3', 'neutral_t6', 'neutral_t5', 'neutral_t4', 'neutral_t3', 'Vx_t6', 'Vx_t5', 'Vx_t4', 'Vx_t3', 'Vy_t6', 'Vy_t5', 'Vy_t4', 'Vy_t3', 'saccades_t6', 'saccades_t5', 'saccades_t4', 'saccades_t3', 'Face_t6', 'Face_t5', 'Face_t4', 'Face_t3', 'Mouth_t6', 'Mouth_t5', 'Mouth_t4', 'Mouth_t3', 'Eyes_t6', 'Eyes_t5', 'Eyes_t4', 'Eyes_t3']	0.528194920839082	0.5501703191227146	0.54	0.02137363129497009	0.03853584570941155	0.0481068255177251	0.5263921554861282,0.5259927856758124,0.5481130023383545,0.5303626777758952,0.5036971241127292,0.49873716543721963,0.5493293568505013,0.5436921296296297,0.5594690265486726,0.49616378453587756	256
