index	region	dm_method	lag	models_params	predictors_dict	selected_predictors	accuracy. mean	precision. mean	fscore. mean	accuracy. std	precision. std	fscore. std	K-Fscores	nb_predictors
19	LeftSTS	MI_RANK_20	6	{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 300, 'random_state': 5, 'class_weight': 'balanced_subsample'}	['Overlap', 'UnionSocioItems', 'LexicalRichness2', 'Polarity', 'ReactionTime', 'disc_IPU', 'Subjectivity', 'disc_SpeechActivity']	['ReactionTime_t3', 'Subjectivity_t4', 'Polarity_t5', 'Subjectivity_t3', 'ReactionTime_t4', 'UnionSocioItems_t4', 'Overlap_t3', 'UnionSocioItems_t3', 'Overlap_t4', 'ReactionTime_t5', 'LexicalRichness2_t4', 'disc_IPU_t5', 'LexicalRichness2_t3', 'disc_SpeechActivity_t5', 'Polarity_t4', 'Polarity_t3', 'disc_IPU_t4', 'disc_SpeechActivity_t4', 'disc_IPU_t3', 'disc_SpeechActivity_t3']	0.6575892463409997	0.6705936745139535	0.66	0.04342015977166688	0.043637530395488594	0.04179559225783023	0.7077531802085189,0.7171416561580497,0.5855698701129911,0.6617126072834082,0.6495723003160074,0.6793845398658283,0.582471264367816,0.6487491478929344,0.6502735118768923,0.6932643853275519	20
732	RightTemporoParietalJunction	K_MEDOIDS_2	6	{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 300, 'random_state': 5, 'class_weight': 'balanced_subsample'}	['Overlap_left', 'Polarity_left', 'Subjectivity_left', 'disc_SpeechActivity_left', 'LexicalRichness1_left', 'disc_SpeechActivity', 'SpeechActivity_left']	['Polarity_left_t6', 'Subjectivity_left_t4', 'Subjectivity_left_t3', 'Overlap_left_t5', 'Overlap_left_t4', 'LexicalRichness1_left_t6', 'LexicalRichness1_left_t3', 'disc_SpeechActivity_t4', 'SpeechActivity_left_t6', 'SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3', 'disc_SpeechActivity_left_t6', 'disc_SpeechActivity_left_t5', 'disc_SpeechActivity_left_t4', 'disc_SpeechActivity_left_t3']	0.5663706881844701	0.5917366206692348	0.59	0.020784745272590992	0.02401454585826805	0.022155627643629487	0.5944371564217891,0.5900875488413883,0.5440324858757062,0.5639583333333333,0.5824980357610533,0.5451226142326416,0.550277400910941,0.5635328180611323,0.5376592663712845,0.5921012220354326	2
840	rMPFC	K_MEDOIDS_14	6	{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 300, 'random_state': 5, 'class_weight': 'balanced_subsample'}	['pose_Ry', 'Polarity_left', 'Mouth', 'dlib_smiles', 'head_rotation_energy', 'LexicalRichness1_left', 'IPU', 'Smile', 'ReactionTime_left', 'SpeechActivity_left', 'Discourses', 'SpeechActivity', 'IPU_left', 'Subjectivity_left', 'disc_IPU', 'disc_SpeechActivity_left', 'disc_SpeechActivity', 'Overlap_left', 'Discourses_left', 'Particles_left', 'disc_IPU_left']	['SpeechActivity_t4', 'SpeechActivity_t3', 'IPU_t3', 'SpeechActivity_left_t6', 'SpeechActivity_left_t5', 'SpeechActivity_left_t4', 'SpeechActivity_left_t3', 'Subjectivity_left_t3', 'LexicalRichness1_left_t3', 'Smile_t6', 'Smile_t5', 'Smile_t4', 'IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_t4', 'disc_IPU_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t3', 'dlib_smiles_t6', 'dlib_smiles_t5', 'dlib_smiles_t4', 'SpeechActivity_t6', 'disc_SpeechActivity_t4', 'disc_SpeechActivity_t3', 'disc_SpeechActivity_left_t6', 'disc_SpeechActivity_left_t5', 'disc_SpeechActivity_left_t4', 'disc_SpeechActivity_left_t3', 'head_rotation_energy_t6', 'head_rotation_energy_t5', 'Mouth_t4', 'ReactionTime_left_t6', 'Mouth_t3', 'ReactionTime_left_t5', 'Particles_left_t5', 'ReactionTime_left_t4', 'Polarity_left_t6', 'Discourses_left_t4', 'Discourses_t4', 'pose_Ry_t3', 'Overlap_left_t6', 'Overlap_left_t5', 'Overlap_left_t4', 'Overlap_left_t3']	0.5422826976684039	0.5611725746204921	0.56	0.024748534574530332	0.040788828185011394	0.044637035999782484	0.5714867990467387,0.5735714169128568,0.5595328729131546,0.5359662935905997,0.5429513101610528,0.4939548914708586,0.5249306833803211,0.5107611331569665,0.5526352015732546,0.557036374478235	14
