index	region	dm_method	lag	models_params	predictors_dict	selected_predictors	accuracy. mean	precision. mean	fscore. mean	accuracy. std	precision. std	fscore. std	K-Fscores	nb_predictors
0	RightTemporoParietalJunction	None_8	6	{'strategy': 'stratified', 'random_state': 5}	['IPU_left', 'disc_IPU_left']	['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3']	0.4990123508582722	0.5210548334399643	0.51	0.009964060631175171	0.02743694764274189	0.024637196620853542	0.48117193810973713,0.4966130601361982,0.5093650793650794,0.49992853058890796,0.48520457195072,0.5026141698676909,0.4953336004336452,0.4967639853001225,0.5149885646906135,0.5081400081400081	8
1	rMPFC	None_8	6	{'strategy': 'stratified', 'random_state': 5}	['IPU_left', 'disc_IPU_left']	['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3', 'disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3']	0.5003616704710462	0.5153801644955368	0.51	0.006632126015018511	0.01614901322758578	0.01033813392934971	0.5059546019900498,0.49593046764591664,0.510376162627928,0.4905915730385896,0.4984447202447858,0.5070524194175966,0.49867974495779066,0.5074737090866124,0.4910967098703889,0.4980165958308035	8
