ROIs	HH	HR
lSTS	4.3e-05	4.1e-05
rSTS	1e-06	0.0
lPc	0.000243	0.503478
rPc	7e-06	0.036296
lTPJ	0.00054	0.036407
rTPJ	0.000952	0.000449
lVMPFC	0.190474	0.216325
rVMPFC	0.015693	0.858064
rAMG	0.004001	0.560875
lAMG	0.081063	0.114823
lV1	0.143132	1.0
rV1	0.005799	0.221993
rMPFC	0.000689	0.157063
WM	1.0	1.0
