Time (s);IPU_P;disc_IPU_P;ReactionTime_P;FilledBreaks_P;Feedbacks_P;Discourses_P;Particles_P;Laughters_P;UnionSocioItems_P;LexicalRichness_P;TypeTokenRatio_P;SpeechRate_P;Polarity_P;Subjectivity_P;IPU_I;disc_IPU_I;Overlap_I;ReactionTime_I;FilledBreaks_I;Feedbacks_I;Discourses_I;Particles_I;Laughters_I;UnionSocioItems_I;LexicalRichness_I;TypeTokenRatio_I;SpeechRate_I;Polarity_I;Subjectivity_I;Gaze_speed_P;Gaze_movement_energy_P;Saccades_P;Face_looks_P;Mouth_looks_P;Eyes_looks_P;Angry_I;Disgust_I;Fear_I;Happy_I;Sad_I;Surprise_I;Neutral_I;AUs_mouth_I;AU_eyes_I;AU_all_I;Direct_gaze_I;Head_Tx_I;Head_Ty_I;Head_Rx_I;Head_Ry_I;Head_rotation_energy_I;Head_translation_energy_I;Smiles_I
13.255;0.7634666591701241;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.1227323209005915;0.0;0.0;0.0;0.0;0.0;3.130022675700001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.088865207665622;247.8535443527438;40.0;31.0;0.0;4.0;0.0;0.0;0.0;0.6218622326850891;0.0;0.0;0.497897744178772;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
14.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-31.41078838177264;243.8187553622825;25.0;36.0;0.0;10.0;0.0;0.0;0.0;0.6555129289627075;0.0;0.0;0.4755975008010864;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
15.665000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-73.29619078445815;238.2824652007095;19.0;31.0;0.0;1.0;0.0;0.0;0.0;0.6465997695922852;0.0;0.0;0.4847679138183594;2.138888888888889;0.19444444444444445;2.3333333333333335;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
16.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.639004149377593;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.26970954360662;176.06174649078773;27.0;37.0;0.0;0.0;0.0;0.0;0.0;0.7658085823059082;0.0;0.0;0.5644387602806091;2.4594594594594597;0.32432432432432434;2.7837837837837838;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
18.075000000000003;0.0;0.0;5.6700226757;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7136741280497891;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.521549205517385;0.0;0.0;4.709543568583863;415.0971064870314;81.0;36.0;0.0;7.0;0.0;0.0;0.0;0.6185756921768188;0.0;0.0;0.549537181854248;2.2777777777777777;1.0;3.2777777777777777;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
19.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-11.59911638712174;136.56015867736528;0.0;31.0;0.0;0.0;0.0;0.0;0.0;0.6767153143882751;0.0;0.0;0.0;2.0;0.2777777777777778;2.2777777777777777;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
20.485;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-55.37344398353299;554.3672061613572;67.0;36.0;0.0;6.0;0.0;0.0;0.0;0.6383638381958008;0.0;0.0;0.49126341938972473;2.0555555555555554;0.027777777777777776;2.0833333333333335;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
21.689999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-51.73215570117619;209.30913994895423;20.0;31.0;0.0;0.0;0.0;0.0;0.0;0.732452392578125;0.0;0.0;0.4821769595146179;2.0;0.5;2.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
22.894999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.83817427390685;342.7513142667043;52.0;36.0;0.0;1.0;0.0;0.0;0.0;0.6185813546180725;0.0;0.0;0.0;2.1944444444444446;0.08333333333333333;2.2777777777777777;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
24.099999999999994;0.47301022763485684;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.017823042192887;0.0;0.0;0.40662018614107337;1.0;0.2987175507053935;-0.3599546485999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-27.033195020740717;452.71392925771386;36.0;36.0;0.0;0.0;0.0;0.0;0.0;0.748052179813385;0.0;0.0;0.5431668162345886;2.25;0.0;2.25;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
25.304999999999993;0.44814218912862636;1.0;0.07501133779999947;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48960773800830343;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;10.185612899819342;0.0;0.0;40.49792531111999;330.2254408169256;0.0;37.0;0.0;0.0;0.0;0.0;0.0;0.8652211427688599;0.0;0.0;0.49618688225746155;3.1621621621621623;0.40540540540540543;3.5675675675675675;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
26.50999999999999;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7777777777777778;7.272770107643077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.69351446398546;330.3288859592085;26.0;31.0;0.0;0.0;0.0;0.0;0.0;0.6869521737098694;0.0;0.0;0.4757656753063202;2.0;0.08333333333333333;2.0833333333333335;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
27.71499999999999;0.14935877535270414;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6400000000000006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.98755186717951;291.8081186175905;36.0;36.0;0.0;0.0;0.0;0.0;0.0;0.6105325222015381;0.0;0.0;0.4669386148452759;2.0;0.3055555555555556;2.3055555555555554;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
28.919999999999987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-87.57281678589402;273.5823162803351;26.0;22.0;0.0;6.0;0.0;0.0;0.0;0.6673098206520081;0.0;0.0;0.0;2.138888888888889;0.0;2.138888888888889;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30.124999999999986;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;195.74688796656403;1083.3149677174706;84.0;29.0;0.0;1.0;0.0;0.0;0.0;0.6179918050765991;0.0;0.0;0.4621879756450653;2.25;0.2222222222222222;2.4722222222222223;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
31.329999999999984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8298943366804862;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.25;1.0;5.000000000000003;0.005;0.15;177.73858921148502;732.1711852317003;64.0;2.0;1.0;0.0;0.0;0.0;0.0;0.6318572163581848;0.0;0.0;0.5077899098396301;2.1666666666666665;0.3888888888888889;2.5555555555555554;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
32.53499999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1659562857261537;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-313.1535269710635;865.0770169230265;80.0;27.0;0.0;0.0;0.0;0.0;0.0;0.6910449862480164;0.0;0.0;0.4795904755592346;2.3513513513513513;0.08108108108108109;2.4324324324324325;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
33.73999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.331950207347804;187.86710044969317;26.0;36.0;0.0;0.0;0.0;0.0;0.0;0.6365835070610046;0.0;0.0;0.48192477226257324;2.0;0.3333333333333333;2.3333333333333335;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
34.94499999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-68.6099585061988;335.481190350301;48.0;36.0;0.0;0.0;0.0;0.0;0.0;0.6114076972007751;0.0;0.0;0.5052924156188965;2.111111111111111;0.0;2.111111111111111;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
36.14999999999998;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3568464730290282;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.730290456599022;128.2011911890111;0.0;36.0;0.0;0.0;0.0;0.0;0.0;0.6750200390815735;0.0;0.0;0.5111743807792664;2.3333333333333335;0.1111111111111111;2.4444444444444446;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
37.354999999999976;0.0;0.0;2.5550113378000034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9460392732780261;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;1.0;6.3695187473224655;0.3;0.2;9.8132780083057;113.48593254889519;0.0;36.0;0.0;0.0;0.0;0.0;0.0;0.7079653739929199;0.0;0.0;0.5731415152549744;3.0555555555555554;0.4722222222222222;3.5277777777777777;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
38.559999999999974;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;181.43993789555304;251.87613490996185;49.0;24.0;0.0;0.0;0.0;0.0;0.0;0.6687508225440979;0.0;0.0;0.0;2.5;0.05555555555555555;2.5555555555555554;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
39.76499999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;282.90663498357566;478.79627962280216;35.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6227144598960876;0.0;0.0;0.5367306470870972;2.0;0.4722222222222222;2.4722222222222223;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
40.96999999999997;0.8340154873029048;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.0;6.965252707106618;0.0;0.0;0.0;0.0;0.0;2.3450340135999994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;243.1120331949527;851.9463061256922;56.0;36.0;0.0;0.0;0.0;0.0;0.0;0.6208367347717285;0.0;0.0;0.4987529218196869;2.0;0.6756756756756757;2.675675675675676;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
42.17499999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.572614107830127;245.29602158067047;22.0;36.0;0.0;4.0;0.0;0.0;0.0;0.6064063310623169;0.0;0.0;0.47589582204818726;2.0;0.08333333333333333;2.0833333333333335;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
43.37999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15351756190868762;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-9.164353386907825;185.82693579542652;23.0;32.0;0.0;18.0;0.0;0.0;0.0;0.5822808146476746;0.0;0.0;0.47724825143814087;2.1666666666666665;0.25;2.4166666666666665;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
44.584999999999965;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;1.0;5.079474775379815;-0.01;0.0;-10.708334759944004;345.28669618040885;43.0;33.0;0.0;1.0;0.0;0.0;0.0;0.7209674715995789;0.0;0.0;0.5424913763999939;2.6944444444444446;0.3333333333333333;3.0277777777777777;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
45.789999999999964;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3195020746887955;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76.26556016575186;185.3308438402211;21.0;36.0;0.0;3.0;0.0;0.0;0.0;0.7109243273735046;0.0;0.0;0.5651424527168274;2.7777777777777777;0.4722222222222222;3.25;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
